storey,wall_name,x1,y1,x2,y2,length_m
Ground Floor,WAL-I-010,31.26,-21.0829,32.092,-21.9778,1.2219
Ground Floor,WAL-I-010,31.1867,-21.151,32.0188,-22.0459,1.2219
Ground Floor,WAL-I-010,32.092,-21.9778,32.0188,-22.0459,0.1
Ground Floor,WAL-I-010,31.26,-21.0829,31.1867,-21.151,0.1
Ground Floor,WAL-I-010,31.26,-21.0829,32.0188,-22.0459,1.226
Ground Floor,WAL-I-015,31.3545,-22.8,31.4277,-22.7319,0.1
Ground Floor,WAL-I-015,31.4277,-22.7319,32.5097,-23.8956,1.589
Ground Floor,WAL-I-015,31.3545,-22.8,32.4365,-23.9637,1.589
Ground Floor,WAL-I-015,32.5097,-23.8956,32.4365,-23.9637,0.1
Ground Floor,WAL-I-015,31.4277,-22.7319,32.4365,-23.9637,1.5921
Ground Floor,WAL-I-034,25.5788,-21.9045,25.5056,-21.9726,0.1
Ground Floor,WAL-I-034,25.5056,-21.9726,24.8928,-21.3135,0.9
Ground Floor,WAL-I-034,25.5788,-21.9045,24.966,-21.2454,0.9
Ground Floor,WAL-I-034,24.8928,-21.3135,24.966,-21.2454,0.1
Ground Floor,WAL-I-034,25.5788,-21.9045,24.8928,-21.3135,0.9055
Ground Floor,WAL-E-018,32.8078,-31.7501,33.1081,-31.4709,0.41
Ground Floor,WAL-E-018,32.8078,-31.7501,34.5616,-33.6363,2.5755
Ground Floor,WAL-E-018,34.5826,-33.0568,33.1081,-31.4709,2.1655
Ground Floor,WAL-E-018,32.8078,-31.7501,34.5826,-33.0568,2.204
Ground Floor,WAL-E-018,34.5616,-33.6363,34.5826,-33.0568,0.5798
Ground Floor,WAL-I-040,32.8532,-22.7964,32.7799,-22.8645,0.1
Ground Floor,WAL-I-040,32.7799,-22.8645,32.0868,-22.1191,1.0179
Ground Floor,WAL-I-040,32.8532,-22.7964,32.1601,-22.051,1.0179
Ground Floor,WAL-I-040,32.0868,-22.1191,32.1601,-22.051,0.1
Ground Floor,WAL-I-040,32.7799,-22.8645,32.1601,-22.051,1.0228
Ground Floor,WAL-I-007,26.8182,-23.3843,26.1591,-23.9971,0.9
Ground Floor,WAL-I-007,26.1931,-24.0337,26.8523,-23.4209,0.9
Ground Floor,WAL-I-007,26.8182,-23.3843,26.1931,-24.0337,0.9014
Ground Floor,WAL-I-005,28.6143,-22.0557,28.6823,-22.129,0.1
Ground Floor,WAL-I-005,28.6143,-22.0557,26.3293,-24.1802,3.12
